Date,Instagram_Minutes,YouTube_Minutes,WhatsApp_Minutes,LinkedIn_Minutes,Reels_Watched,Videos_Watched,Messages_Sent,Posts_Liked,Study_Minutes
2026-08-23,88,93,174,26,79,22,602,49,22
2026-08-24,93,111,105,39,91,27,203,39,95
2026-08-25,154,86,152,71,118,23,494,61,137
2026-08-26,120,133,141,50,141,45,312,72,249
2026-08-27,151,120,66,3,186,44,157,59,237
2026-08-28,113,201,142,19,73,42,410,27,93
2026-08-29,81,294,123,13,104,95,416,22,87
2026-08-30,167,195,57,2,122,68,97,28,101
2026-08-31,146,93,23,39,196,26,65,58,314
2026-09-01,47,147,13,2,36,56,43,12,186
2026-09-02,76,65,127,10,101,20,429,27,296
2026-09-03,78,71,60,17,63,25,185,30,58
2026-09-04,162,47,93,16,194,14,159,102,203
2026-09-05,61,186,24,12,43,74,41,15,1
2026-09-06,118,113,142,12,99,46,449,63,11
2026-09-07,179,116,156,55,249,32,353,158,261
2026-09-08,157,63,140,55,168,26,440,85,57
2026-09-09,20,113,159,45,27,27,278,9,168
2026-09-10,98,81,131,56,87,26,230,36,182
2026-09-11,108,48,38,66,104,16,109,59,340
2026-09-12,188,173,30,14,217,76,59,77,153
2026-09-13,155,285,23,3,210,95,73,113,143
2026-09-14,26,209,91,47,22,51,232,15,62
2026-09-15,113,129,46,29,73,56,115,16,121
2026-09-16,46,205,117,12,27,62,336,9,252
2026-09-17,78,35,93,11,59,9,299,22,359
2026-09-18,148,87,177,74,186,27,359,51,109
2026-09-19,107,210,45,7,130,70,152,47,142
2026-09-20,229,157,54,13,232,45,91,101,8
2026-09-21,129,150,109,27,159,57,313,50,65
